,neighbor,probability,distance,reference,id
679,B,0.80017257,438.89795,D,1
680,B,0.7540639,449.08163,D,1
681,B,0.77491534,459.26532,D,1
682,B,0.75348485,469.44897,D,1
683,B,0.7637768,479.63266,D,1
684,B,0.7284988,489.8163,D,1
685,B,0.7865489,500.0,D,1
686,C,0.26122594,11.183674,D,1
687,C,0.3195522,21.367348,D,1
688,C,0.46446297,31.55102,D,1
689,C,0.4304559,41.734695,D,1
690,C,0.451277,51.918365,D,1
691,C,0.52031964,62.10204,D,1
692,C,0.5369208,72.28571,D,1
693,C,0.6005971,82.46939,D,1
694,C,0.5828898,92.65306,D,1
695,C,0.5890858,102.83673,D,1
696,C,0.66258204,113.02041,D,1
697,C,0.6407235,123.20408,D,1
698,C,0.68721926,133.38776,D,1
699,C,0.7357587,143.57143,D,1
700,C,0.74459606,153.7551,D,1
701,C,0.75875646,163.93878,D,1
702,C,0.78082377,174.12245,D,1
703,C,0.80181867,184.30612,D,1
704,C,0.8263232,194.48979,D,1
705,C,0.83276623,204.67346,D,1
706,C,0.89147294,214.85715,D,1
707,C,0.888826,225.04082,D,1
708,C,0.9129747,235.22449,D,1
709,C,0.89082336,245.40816,D,1
710,C,0.8921079,255.59184,D,1
711,C,0.92948717,265.7755,D,1
712,C,0.94602,275.9592,D,1
713,C,0.92984074,286.14285,D,1
714,C,0.9628499,296.32654,D,1
715,C,0.98324966,306.5102,D,1
716,C,0.9541063,316.69388,D,1
717,C,0.97346413,326.87756,D,1
718,C,0.9838978,337.06122,D,1
719,C,0.99305844,347.2449,D,1
720,C,1.0418975,357.42856,D,1
721,C,1.0139375,367.61224,D,1
722,C,1.008546,377.79593,D,1
723,C,1.0192274,387.97958,D,1
724,C,1.063835,398.16327,D,1
725,C,1.046331,408.34692,D,1
726,C,1.0522355,418.5306,D,1
727,C,1.0744022,428.7143,D,1
728,C,1.0662916,438.89795,D,1
729,C,1.0970138,449.08163,D,1
730,C,1.072391,459.26532,D,1
731,C,1.1181483,469.44897,D,1
732,C,1.1031042,479.63266,D,1
733,C,1.1109766,489.8163,D,1
734,C,1.1271946,500.0,D,1
735,D,3.4144943,11.183674,D,1
736,D,3.18948,21.367348,D,1
737,D,2.6940968,31.55102,D,1
