,neighbor,probability,distance,reference,id,perm
272,CD8 Memory T cells,,1206.3918,"B cells, red pulp",0,1
273,CD8 Memory T cells,,1230.027,"B cells, red pulp",0,1
274,CD8 Memory T cells,,1253.6621,"B cells, red pulp",0,1
275,CD8 Memory T cells,,1277.2972,"B cells, red pulp",0,1
276,CD8 Memory T cells,,1300.9324,"B cells, red pulp",0,1
277,CD8 Memory T cells,,1324.5676,"B cells, red pulp",0,1
278,CD8 Memory T cells,,1348.2028,"B cells, red pulp",0,1
279,CD8 Memory T cells,,1371.8379,"B cells, red pulp",0,1
280,CD8 Memory T cells,,1395.473,"B cells, red pulp",0,1
281,CD8 Memory T cells,,1419.1082,"B cells, red pulp",0,1
282,CD8 Memory T cells,,1442.7433,"B cells, red pulp",0,1
283,CD8 Memory T cells,,1466.3784,"B cells, red pulp",0,1
284,CD8 Memory T cells,,1490.0135,"B cells, red pulp",0,1
285,CD8 Memory T cells,,1513.6487,"B cells, red pulp",0,1
286,CD8 Memory T cells,,1537.2838,"B cells, red pulp",0,1
287,CD8 Memory T cells,,1560.919,"B cells, red pulp",0,1
288,CD8 Memory T cells,,1584.5541,"B cells, red pulp",0,1
289,CD8 Memory T cells,,1608.1892,"B cells, red pulp",0,1
290,CD8 Memory T cells,,1631.8243,"B cells, red pulp",0,1
291,CD8 Memory T cells,,1655.4595,"B cells, red pulp",0,1
292,CD8 Memory T cells,,1679.0946,"B cells, red pulp",0,1
293,CD8 Memory T cells,,1702.7297,"B cells, red pulp",0,1
294,CD8 Memory T cells,,1726.3649,"B cells, red pulp",0,1
295,CD8 Memory T cells,,1750.0,"B cells, red pulp",0,1
296,Fol B cells,,24.635136,"B cells, red pulp",0,1
297,Fol B cells,,48.27027,"B cells, red pulp",0,1
298,Fol B cells,,71.9054,"B cells, red pulp",0,1
299,Fol B cells,,95.54054,"B cells, red pulp",0,1
300,Fol B cells,,119.175674,"B cells, red pulp",0,1
301,Fol B cells,,142.8108,"B cells, red pulp",0,1
302,Fol B cells,,166.44595,"B cells, red pulp",0,1
303,Fol B cells,,190.08109,"B cells, red pulp",0,1
304,Fol B cells,,213.71622,"B cells, red pulp",0,1
305,Fol B cells,,237.35135,"B cells, red pulp",0,1
306,Fol B cells,,260.98648,"B cells, red pulp",0,1
307,Fol B cells,,284.6216,"B cells, red pulp",0,1
308,Fol B cells,,308.25674,"B cells, red pulp",0,1
309,Fol B cells,,331.8919,"B cells, red pulp",0,1
310,Fol B cells,,355.52704,"B cells, red pulp",0,1
311,Fol B cells,,379.16217,"B cells, red pulp",0,1
312,Fol B cells,,402.7973,"B cells, red pulp",0,1
313,Fol B cells,,426.43243,"B cells, red pulp",0,1
314,Fol B cells,,450.06757,"B cells, red pulp",0,1
315,Fol B cells,,473.7027,"B cells, red pulp",0,1
316,Fol B cells,,497.33783,"B cells, red pulp",0,1
317,Fol B cells,,520.97296,"B cells, red pulp",0,1
318,Fol B cells,,544.6081,"B cells, red pulp",0,1
319,Fol B cells,,568.2432,"B cells, red pulp",0,1
320,Fol B cells,,591.87836,"B cells, red pulp",0,1
321,Fol B cells,,615.5135,"B cells, red pulp",0,1
322,Fol B cells,,639.1486,"B cells, red pulp",0,1
323,Fol B cells,,662.7838,"B cells, red pulp",0,1
324,Fol B cells,,686.41895,"B cells, red pulp",0,1
325,Fol B cells,,710.0541,"B cells, red pulp",0,1
326,Fol B cells,,733.6892,"B cells, red pulp",0,1
327,Fol B cells,,757.32434,"B cells, red pulp",0,1
328,Fol B cells,,780.9595,"B cells, red pulp",0,1
329,Fol B cells,,804.5946,"B cells, red pulp",0,1
330,Fol B cells,,828.22974,"B cells, red pulp",0,1
331,Fol B cells,,851.86487,"B cells, red pulp",0,1
332,Fol B cells,,875.5,"B cells, red pulp",0,1
333,Fol B cells,,899.13513,"B cells, red pulp",0,1
334,Fol B cells,,922.77026,"B cells, red pulp",0,1
335,Fol B cells,,946.4054,"B cells, red pulp",0,1
336,Fol B cells,,970.0405,"B cells, red pulp",0,1
337,Fol B cells,,993.67566,"B cells, red pulp",0,1
338,Fol B cells,,1017.3108,"B cells, red pulp",0,1
339,Fol B cells,,1040.9459,"B cells, red pulp",0,1
340,Fol B cells,,1064.581,"B cells, red pulp",0,1
341,Fol B cells,,1088.2162,"B cells, red pulp",0,1
342,Fol B cells,,1111.8513,"B cells, red pulp",0,1
343,Fol B cells,,1135.4865,"B cells, red pulp",0,1
344,Fol B cells,,1159.1216,"B cells, red pulp",0,1
345,Fol B cells,,1182.7567,"B cells, red pulp",0,1
346,Fol B cells,,1206.3918,"B cells, red pulp",0,1
347,Fol B cells,,1230.027,"B cells, red pulp",0,1
348,Fol B cells,,1253.6621,"B cells, red pulp",0,1
349,Fol B cells,,1277.2972,"B cells, red pulp",0,1
350,Fol B cells,,1300.9324,"B cells, red pulp",0,1
351,Fol B cells,,1324.5676,"B cells, red pulp",0,1
352,Fol B cells,,1348.2028,"B cells, red pulp",0,1
353,Fol B cells,,1371.8379,"B cells, red pulp",0,1
354,Fol B cells,,1395.473,"B cells, red pulp",0,1
355,Fol B cells,,1419.1082,"B cells, red pulp",0,1
356,Fol B cells,,1442.7433,"B cells, red pulp",0,1
357,Fol B cells,,1466.3784,"B cells, red pulp",0,1
358,Fol B cells,,1490.0135,"B cells, red pulp",0,1
359,Fol B cells,,1513.6487,"B cells, red pulp",0,1
360,Fol B cells,,1537.2838,"B cells, red pulp",0,1
361,Fol B cells,,1560.919,"B cells, red pulp",0,1
362,Fol B cells,,1584.5541,"B cells, red pulp",0,1
363,Fol B cells,,1608.1892,"B cells, red pulp",0,1
364,Fol B cells,,1631.8243,"B cells, red pulp",0,1
365,Fol B cells,,1655.4595,"B cells, red pulp",0,1
366,Fol B cells,,1679.0946,"B cells, red pulp",0,1
367,Fol B cells,,1702.7297,"B cells, red pulp",0,1
368,Fol B cells,,1726.3649,"B cells, red pulp",0,1
369,Fol B cells,,1750.0,"B cells, red pulp",0,1
370,Ki67 proliferating,,24.635136,"B cells, red pulp",0,1
371,Ki67 proliferating,,48.27027,"B cells, red pulp",0,1
372,Ki67 proliferating,,71.9054,"B cells, red pulp",0,1
373,Ki67 proliferating,,95.54054,"B cells, red pulp",0,1
374,Ki67 proliferating,,119.175674,"B cells, red pulp",0,1
375,Ki67 proliferating,,142.8108,"B cells, red pulp",0,1
376,Ki67 proliferating,,166.44595,"B cells, red pulp",0,1
377,Ki67 proliferating,,190.08109,"B cells, red pulp",0,1
378,Ki67 proliferating,,213.71622,"B cells, red pulp",0,1
379,Ki67 proliferating,,237.35135,"B cells, red pulp",0,1
380,Ki67 proliferating,,260.98648,"B cells, red pulp",0,1
381,Ki67 proliferating,,284.6216,"B cells, red pulp",0,1
382,Ki67 proliferating,,308.25674,"B cells, red pulp",0,1
383,Ki67 proliferating,,331.8919,"B cells, red pulp",0,1
384,Ki67 proliferating,,355.52704,"B cells, red pulp",0,1
385,Ki67 proliferating,,379.16217,"B cells, red pulp",0,1
386,Ki67 proliferating,,402.7973,"B cells, red pulp",0,1
387,Ki67 proliferating,,426.43243,"B cells, red pulp",0,1
388,Ki67 proliferating,,450.06757,"B cells, red pulp",0,1
389,Ki67 proliferating,,473.7027,"B cells, red pulp",0,1
390,Ki67 proliferating,,497.33783,"B cells, red pulp",0,1
391,Ki67 proliferating,,520.97296,"B cells, red pulp",0,1
392,Ki67 proliferating,,544.6081,"B cells, red pulp",0,1
393,Ki67 proliferating,,568.2432,"B cells, red pulp",0,1
394,Ki67 proliferating,,591.87836,"B cells, red pulp",0,1
395,Ki67 proliferating,,615.5135,"B cells, red pulp",0,1
396,Ki67 proliferating,,639.1486,"B cells, red pulp",0,1
397,Ki67 proliferating,,662.7838,"B cells, red pulp",0,1
398,Ki67 proliferating,,686.41895,"B cells, red pulp",0,1
399,Ki67 proliferating,,710.0541,"B cells, red pulp",0,1
400,Ki67 proliferating,,733.6892,"B cells, red pulp",0,1
401,Ki67 proliferating,,757.32434,"B cells, red pulp",0,1
402,Ki67 proliferating,,780.9595,"B cells, red pulp",0,1
403,Ki67 proliferating,,804.5946,"B cells, red pulp",0,1
404,Ki67 proliferating,,828.22974,"B cells, red pulp",0,1
405,Ki67 proliferating,,851.86487,"B cells, red pulp",0,1
406,Ki67 proliferating,,875.5,"B cells, red pulp",0,1
407,Ki67 proliferating,,899.13513,"B cells, red pulp",0,1
408,Ki67 proliferating,,922.77026,"B cells, red pulp",0,1
409,Ki67 proliferating,,946.4054,"B cells, red pulp",0,1
410,Ki67 proliferating,,970.0405,"B cells, red pulp",0,1
411,Ki67 proliferating,,993.67566,"B cells, red pulp",0,1
412,Ki67 proliferating,,1017.3108,"B cells, red pulp",0,1
413,Ki67 proliferating,,1040.9459,"B cells, red pulp",0,1
414,Ki67 proliferating,,1064.581,"B cells, red pulp",0,1
415,Ki67 proliferating,,1088.2162,"B cells, red pulp",0,1
416,Ki67 proliferating,,1111.8513,"B cells, red pulp",0,1
417,Ki67 proliferating,,1135.4865,"B cells, red pulp",0,1
418,Ki67 proliferating,,1159.1216,"B cells, red pulp",0,1
419,Ki67 proliferating,,1182.7567,"B cells, red pulp",0,1
420,Ki67 proliferating,,1206.3918,"B cells, red pulp",0,1
421,Ki67 proliferating,,1230.027,"B cells, red pulp",0,1
422,Ki67 proliferating,,1253.6621,"B cells, red pulp",0,1
423,Ki67 proliferating,,1277.2972,"B cells, red pulp",0,1
424,Ki67 proliferating,,1300.9324,"B cells, red pulp",0,1
425,Ki67 proliferating,,1324.5676,"B cells, red pulp",0,1
426,Ki67 proliferating,,1348.2028,"B cells, red pulp",0,1
427,Ki67 proliferating,,1371.8379,"B cells, red pulp",0,1
428,Ki67 proliferating,,1395.473,"B cells, red pulp",0,1
429,Ki67 proliferating,,1419.1082,"B cells, red pulp",0,1
430,Ki67 proliferating,,1442.7433,"B cells, red pulp",0,1
431,Ki67 proliferating,,1466.3784,"B cells, red pulp",0,1
432,Ki67 proliferating,,1490.0135,"B cells, red pulp",0,1
433,Ki67 proliferating,,1513.6487,"B cells, red pulp",0,1
434,Ki67 proliferating,,1537.2838,"B cells, red pulp",0,1
435,Ki67 proliferating,,1560.919,"B cells, red pulp",0,1
436,Ki67 proliferating,,1584.5541,"B cells, red pulp",0,1
