,neighbor,Z,scale,reference,id,perm
425,A,1.5047367,981.0203,C,0,1
426,A,1.4025569,1009.13574,C,0,1
427,A,1.3682433,1037.2512,C,0,1
428,A,1.4194512,1065.3667,C,0,1
429,A,1.4492106,1093.4822,C,0,1
430,A,1.5662576,1121.5977,C,0,1
431,A,1.5917288,1149.713,C,0,1
432,A,1.6391457,1177.8285,C,0,1
433,A,1.6118239,1205.944,C,0,1
434,A,1.4787836,1234.0594,C,0,1
435,A,1.2964512,1262.1749,C,0,1
436,A,1.0796288,1290.2904,C,0,1
437,A,0.87234986,1318.4058,C,0,1
438,A,0.6993166,1346.5212,C,0,1
439,A,0.5340938,1374.6367,C,0,1
440,A,0.46341494,1402.7522,C,0,1
441,B,22.228739,53.210125,C,0,1
442,B,17.903461,81.325584,C,0,1
443,B,11.98528,109.44105,C,0,1
444,B,8.236346,137.5565,C,0,1
445,B,4.3567,165.67197,C,0,1
446,B,1.1608224,193.78743,C,0,1
447,B,0.017646456,221.90288,C,0,1
448,B,0.0,250.01834,C,0,1
449,B,0.0,278.1338,C,0,1
450,B,0.0,306.24927,C,0,1
451,B,0.0,334.36472,C,0,1
452,B,0.0,362.4802,C,0,1
453,B,0.0,390.59564,C,0,1
454,B,0.0,418.7111,C,0,1
455,B,0.0,446.82657,C,0,1
456,B,0.0,474.94202,C,0,1
457,B,0.0,503.0575,C,0,1
458,B,0.0,531.1729,C,0,1
459,B,0.0,559.2884,C,0,1
460,B,0.0,587.4039,C,0,1
461,B,0.0,615.51935,C,0,1
462,B,0.0,643.63477,C,0,1
463,B,0.0,671.75024,C,0,1
464,B,0.0,699.8657,C,0,1
465,B,0.0,727.98114,C,0,1
466,B,0.0,756.0966,C,0,1
467,B,0.0,784.2121,C,0,1
468,B,0.0,812.3275,C,0,1
469,B,0.13630441,840.443,C,0,1
470,B,0.7760024,868.5585,C,0,1
471,B,1.4773442,896.67395,C,0,1
472,B,2.3836343,924.78937,C,0,1
473,B,3.272556,952.90485,C,0,1
474,B,3.94236,981.0203,C,0,1
475,B,4.35453,1009.13574,C,0,1
476,B,3.9605742,1037.2512,C,0,1
477,B,3.4727395,1065.3667,C,0,1
478,B,2.4547534,1093.4822,C,0,1
479,B,1.4957739,1121.5977,C,0,1
480,B,0.92079675,1149.713,C,0,1
481,B,0.32804012,1177.8285,C,0,1
482,B,0.030269017,1205.944,C,0,1
483,B,0.010515841,1234.0594,C,0,1
484,B,0.08121502,1262.1749,C,0,1
485,B,0.23982506,1290.2904,C,0,1
486,B,0.4495232,1318.4058,C,0,1
487,B,0.67268497,1346.5212,C,0,1
488,B,0.9372285,1374.6367,C,0,1
489,B,1.0975128,1402.7522,C,0,1
490,C,22.214724,53.210125,C,0,1
491,C,16.986244,81.325584,C,0,1
492,C,12.255737,109.44105,C,0,1
493,C,8.2627735,137.5565,C,0,1
494,C,4.3030457,165.67197,C,0,1
495,C,1.3714406,193.78743,C,0,1
496,C,0.0,221.90288,C,0,1
497,C,0.0,250.01834,C,0,1
498,C,0.0,278.1338,C,0,1
499,C,0.0,306.24927,C,0,1
500,C,0.0,334.36472,C,0,1
501,C,0.0,362.4802,C,0,1
502,C,0.0,390.59564,C,0,1
503,C,0.0,418.7111,C,0,1
504,C,0.0,446.82657,C,0,1
505,C,0.0,474.94202,C,0,1
506,C,0.0,503.0575,C,0,1
507,C,0.0,531.1729,C,0,1
508,C,0.0,559.2884,C,0,1
509,C,0.0,587.4039,C,0,1
510,C,0.0,615.51935,C,0,1
511,C,0.0,643.63477,C,0,1
512,C,0.0,671.75024,C,0,1
513,C,0.0,699.8657,C,0,1
514,C,0.0,727.98114,C,0,1
515,C,0.0,756.0966,C,0,1
516,C,0.0,784.2121,C,0,1
517,C,0.010201898,812.3275,C,0,1
518,C,0.06966134,840.443,C,0,1
519,C,0.70896614,868.5585,C,0,1
520,C,1.226027,896.67395,C,0,1
521,C,1.9951698,924.78937,C,0,1
522,C,2.9356892,952.90485,C,0,1
523,C,3.4657476,981.0203,C,0,1
524,C,4.2665687,1009.13574,C,0,1
525,C,4.184451,1037.2512,C,0,1
526,C,3.2181952,1065.3667,C,0,1
527,C,2.804313,1093.4822,C,0,1
528,C,2.0936475,1121.5977,C,0,1
529,C,1.1663959,1149.713,C,0,1
530,C,0.4154027,1177.8285,C,0,1
531,C,0.039066732,1205.944,C,0,1
532,C,0.0,1234.0594,C,0,1
533,C,0.05790645,1262.1749,C,0,1
534,C,0.19106841,1290.2904,C,0,1
535,C,0.3778828,1318.4058,C,0,1
536,C,0.6285499,1346.5212,C,0,1
537,C,0.83519053,1374.6367,C,0,1
538,C,0.98683506,1402.7522,C,0,1
539,D,0.0,53.210125,C,0,1
540,D,0.0,81.325584,C,0,1
541,D,0.0,109.44105,C,0,1
542,D,0.0,137.5565,C,0,1
543,D,0.0,165.67197,C,0,1
544,D,0.0,193.78743,C,0,1
545,D,0.033148885,221.90288,C,0,1
546,D,0.23576431,250.01834,C,0,1
547,D,0.4787242,278.1338,C,0,1
548,D,0.7312239,306.24927,C,0,1
549,D,0.9852393,334.36472,C,0,1
550,D,1.2067562,362.4802,C,0,1
551,D,1.4059453,390.59564,C,0,1
552,D,1.4865468,418.7111,C,0,1
553,D,1.4851776,446.82657,C,0,1
554,D,1.4767433,474.94202,C,0,1
555,D,1.4666475,503.0575,C,0,1
556,D,1.4584318,531.1729,C,0,1
557,D,1.4465374,559.2884,C,0,1
558,D,1.4359428,587.4039,C,0,1
559,D,1.423282,615.51935,C,0,1
560,D,1.3974011,643.63477,C,0,1
561,D,1.3454909,671.75024,C,0,1
562,D,1.2820659,699.8657,C,0,1
563,D,1.2009054,727.98114,C,0,1
564,D,1.1012386,756.0966,C,0,1
565,D,0.99918914,784.2121,C,0,1
566,D,0.9079323,812.3275,C,0,1
567,D,0.85152864,840.443,C,0,1
568,D,0.7996286,868.5585,C,0,1
569,D,0.7702269,896.67395,C,0,1
570,D,0.7367628,924.78937,C,0,1
571,D,0.73464054,952.90485,C,0,1
572,D,0.7346491,981.0203,C,0,1
573,D,0.73511595,1009.13574,C,0,1
574,D,0.7506841,1037.2512,C,0,1
575,D,0.759248,1065.3667,C,0,1
576,D,0.7742876,1093.4822,C,0,1
577,D,0.76391196,1121.5977,C,0,1
578,D,0.7813666,1149.713,C,0,1
579,D,0.7876904,1177.8285,C,0,1
580,D,0.8063822,1205.944,C,0,1
581,D,0.85631627,1234.0594,C,0,1
582,D,0.926681,1262.1749,C,0,1
583,D,1.0108602,1290.2904,C,0,1
584,D,1.0897071,1318.4058,C,0,1
585,D,1.1516156,1346.5212,C,0,1
586,D,1.2070873,1374.6367,C,0,1
587,D,1.224189,1402.7522,C,0,1
588,A,0.13051526,53.210125,D,0,1
589,A,0.224693,81.325584,D,0,1
590,A,0.32017207,109.44105,D,0,1
591,A,0.4160704,137.5565,D,0,1
592,A,0.516998,165.67197,D,0,1
593,A,0.61913234,193.78743,D,0,1
594,A,0.7092317,221.90288,D,0,1
595,A,0.7870305,250.01834,D,0,1
596,A,0.84721625,278.1338,D,0,1
597,A,0.8968276,306.24927,D,0,1
598,A,0.94385815,334.36472,D,0,1
599,A,0.9851493,362.4802,D,0,1
600,A,1.0349736,390.59564,D,0,1
601,A,1.0934172,418.7111,D,0,1
602,A,1.1495129,446.82657,D,0,1
603,A,1.2048016,474.94202,D,0,1
604,A,1.2558717,503.0575,D,0,1
605,A,1.2882907,531.1729,D,0,1
606,A,1.3140117,559.2884,D,0,1
607,A,1.3254403,587.4039,D,0,1
608,A,1.3073689,615.51935,D,0,1
609,A,1.2650684,643.63477,D,0,1
610,A,1.2230899,671.75024,D,0,1
611,A,1.1782808,699.8657,D,0,1
612,A,1.1331439,727.98114,D,0,1
613,A,1.0882674,756.0966,D,0,1
614,A,1.0457524,784.2121,D,0,1
615,A,1.0042777,812.3275,D,0,1
616,A,0.9627461,840.443,D,0,1
617,A,0.92951244,868.5585,D,0,1
618,A,0.89328516,896.67395,D,0,1
619,A,0.8588721,924.78937,D,0,1
620,A,0.8277464,952.90485,D,0,1
621,A,0.8029663,981.0203,D,0,1
622,A,0.7888018,1009.13574,D,0,1
623,A,0.7878734,1037.2512,D,0,1
624,A,0.7999221,1065.3667,D,0,1
625,A,0.8169512,1093.4822,D,0,1
626,A,0.8457399,1121.5977,D,0,1
627,A,0.8737412,1149.713,D,0,1
628,A,0.90742016,1177.8285,D,0,1
629,A,0.93960804,1205.944,D,0,1
630,A,0.97392863,1234.0594,D,0,1
631,A,0.9994984,1262.1749,D,0,1
632,A,1.0181015,1290.2904,D,0,1
633,A,1.0324689,1318.4058,D,0,1
634,A,1.0456626,1346.5212,D,0,1
635,A,1.0545615,1374.6367,D,0,1
636,A,1.0638493,1402.7522,D,0,1
637,B,0.0,53.210125,D,0,1
638,B,0.0,81.325584,D,0,1
639,B,0.0,109.44105,D,0,1
640,B,0.0,137.5565,D,0,1
641,B,0.0,165.67197,D,0,1
642,B,0.0,193.78743,D,0,1
643,B,0.03440969,221.90288,D,0,1
644,B,0.21745075,250.01834,D,0,1
645,B,0.46715444,278.1338,D,0,1
646,B,0.74298465,306.24927,D,0,1
647,B,0.981931,334.36472,D,0,1
648,B,1.2224939,362.4802,D,0,1
649,B,1.4079235,390.59564,D,0,1
650,B,1.4874196,418.7111,D,0,1
651,B,1.4851776,446.82657,D,0,1
652,B,1.4767433,474.94202,D,0,1
653,B,1.4666475,503.0575,D,0,1
654,B,1.458432,531.1729,D,0,1
655,B,1.4465374,559.2884,D,0,1
656,B,1.4359426,587.4039,D,0,1
657,B,1.4233441,615.51935,D,0,1
658,B,1.3964914,643.63477,D,0,1
659,B,1.3341774,671.75024,D,0,1
660,B,1.2621245,699.8657,D,0,1
661,B,1.1766559,727.98114,D,0,1
662,B,1.0709939,756.0966,D,0,1
663,B,0.9826989,784.2121,D,0,1
664,B,0.89408094,812.3275,D,0,1
665,B,0.8390405,840.443,D,0,1
666,B,0.78975266,868.5585,D,0,1
667,B,0.75804776,896.67395,D,0,1
668,B,0.74249154,924.78937,D,0,1
669,B,0.7338116,952.90485,D,0,1
